area_sqft,bedrooms,bathrooms,locality,house_age_years,year_built,floor_number,building_type,parking_spaces,has_garden,price_inr
2023.0,2.0,2.0,Khalihamari,11.0,2014.0,1.4930276530371072,Apartment,1.0,1.0,6102263
883.0,2.497630893153281,1.9917482022869268,Mancotta Road,28.0,1997.0,1.4930276530371072,Apartment,1.0,0.0,2952163
912.0,2.0,1.0,Boiragimoth,12.0,2013.0,3.0,Duplex,1.0,1.0,2933795
1196.0,4.0,1.0,Boiragimoth,36.0,1989.0,1.4930276530371072,Independent,1.0,0.0,3698572
2804.0,4.0,2.0,Naliapool,7.0,2018.0,2.0,Apartment,1.0,0.0,9142000
2261.0,1.0,1.0,Milan Nagar,26.0,1999.0,2.0,Duplex,,1.0,6043626
2437.0,1.0,3.0,Naliapool,27.0,1998.0,0.0,Apartment,2.0,0.0,6411626
1076.0,1.0,2.0,Milan Nagar,6.0,2019.0,0.0,Duplex,1.0,0.305407644065791,3308308
1673.0,2.0,1.9917482022869268,Khalihamari,7.0,2018.0,1.0,Independent,1.0,1.0,5172459
658.0,1.0,2.0,Naliapool,39.0,2004.983730252299,3.0,Apartment,1.0,0.0,1540162
758.0,3.0,1.0,Milan Nagar,6.0,2019.0,0.0,Duplex,2.0,1.0,2757789
2206.0,2.0,3.0,Naliapool,7.0,2018.0,0.0,Independent,1.0,0.0,6756840
1275.0,4.0,3.0,Milan Nagar,9.0,2016.0,2.0,Apartment,2.0,1.0,4660114
860.0,1.0,3.0,Naliapool,7.0,2018.0,1.4930276530371072,Independent,,0.0,2571191
1879.0,3.0,3.0,Milan Nagar,31.0,1994.0,0.0,Apartment,0.0,0.0,5798802
1778.0,4.0,3.0,Mancotta Road,31.0,1994.0,2.0,Independent,1.0,0.305407644065791,6329705
1723.0,3.0,3.0,Chowkidinghee,26.0,1999.0,3.0,Duplex,0.0,1.0,6251324
2622.0,4.0,1.9917482022869268,Mancotta Road,26.0,2004.983730252299,0.0,Duplex,0.0,0.0,9316023
1716.0,2.0,3.0,Boiragimoth,9.0,2016.0,1.4930276530371072,Independent,0.0,1.0,5931771
855.0,2.0,1.9917482022869268,Chowkidinghee,39.0,1986.0,3.0,Duplex,2.0,0.0,2785421
2203.0,3.0,1.9917482022869268,Chowkidinghee,23.0,2002.0,2.0,Independent,1.0,0.0,7727969
2160.0,4.0,1.0,Naliapool,10.0,2004.983730252299,3.0,Independent,1.0,1.0,6741010
2697.0,3.0,2.0,Milan Nagar,9.0,2016.0,1.0,Duplex,1.0,0.0,10401834
2634.0,3.0,1.0,Milan Nagar,36.0,1989.0,0.0,Independent,1.0,1.0,8192178
2572.0,2.0,1.0,Khalihamari,8.0,2017.0,2.0,Duplex,1.0,0.0,7666272
2539.0,3.0,1.0,Naliapool,10.0,2015.0,0.0,Independent,,0.0,7602236
1761.0,2.0,3.0,Milan Nagar,5.0,2020.0,3.0,Apartment,0.0,0.0,6853172
2284.0,4.0,3.0,Boiragimoth,20.0,2005.0,3.0,Duplex,2.0,1.0,8268706
2264.0,1.0,2.0,Milan Nagar,19.0,2006.0,0.0,Independent,1.0,0.0,6574334
1751.0,2.0,1.0,Boiragimoth,33.0,1992.0,2.0,Independent,2.0,0.0,5046737
1927.626994445101,1.0,2.0,Chowkidinghee,23.0,2002.0,2.0,Independent,0.0,1.0,2589186
2808.0,3.0,3.0,Khalihamari,30.0,1995.0,1.0,Independent,0.0,0.0,8303118
3083.0,4.0,3.0,Mancotta Road,3.0,2022.0,3.0,Independent,,0.0,12700849
